*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	automatisovaně	automatizovaně
hrana	automatisovat	automatizovat
hrana	automatisovatelnost	automatizovatelnost
hrana	automatisovatelný	automatizovatelný
hrana	automatisovatelně	automatizovatelně
hrana	automatisování	automatizování
hrana	automatisovávací	automatizovávací
hrana	automatisovávající	automatizovávající
hrana	automatisovávanost	automatizovávanost
hrana	automatisovávaný	automatizovávaný
hrana	automatisovávaně	automatizovávaně
hrana	automatisovávat	automatizovávat
hrana	automatisovávatelnost	automatizovávatelnost
hrana	automatisovávatelný	automatizovávatelný
hrana	automatisovávatelně	automatizovávatelně
hrana	automatisovávání	automatizovávání
hrana	automatisující	automatizující
hrana	automobilismus	automobilizmus
hrana	autonomisace	autonomizace
hrana	autonomismus	autonomizmus
hrana	autorisace	autorizace
hrana	autorisovací	autorizovací
hrana	autorisovanost	autorizovanost
hrana	autorisovaný	autorizovaný
hrana	autorisovaně	autorizovaně
hrana	autorisovat	autorizovat
hrana	autorisovatelnost	autorizovatelnost
hrana	autorisovatelný	autorizovatelný
hrana	autorisovatelně	autorizovatelně
hrana	autorisování	autorizování
hrana	autorisovávací	autorizovávací
hrana	autorisovávající	autorizovávající
hrana	autorisovávanost	autorizovávanost
hrana	autorisovávaný	autorizovávaný
hrana	autorisovávaně	autorizovávaně
hrana	autorisovávat	autorizovávat
hrana	autorisovávatelnost	autorizovávatelnost
hrana	autorisovávatelný	autorizovávatelný
hrana	autorisovávatelně	autorizovávatelně
hrana	autorisovávání	autorizovávání
hrana	autorisující	autorizující
hrana	autoritatismus	autoritatizmus
hrana	autosomální	autozomální
hrana	autosomálně	autozomálně
hrana	autotropismus	autotropizmus
hrana	avantgardismus	avantgardizmus
hrana	avanturismus	avanturizmus
hrana	averroismus	averroizmus
hrana	avisovost	avizovost
hrana	avisový	avizový
hrana	baasismus	baasizmus
hrana	babesióza	babezióza
hrana	babišismus	babišizmus
hrana	bakteriolysin	bakteriolyzin
hrana	baladismus	baladizmus
hrana	balbutismus	balbutizmus
hrana	balsa	balza
hrana	balsamikovost	balzamikovost
hrana	balsamikový	balzamikový
hrana	balsamikově	balzamikově
hrana	balsovník	balzovník
hrana	balsovost	balzovost
hrana	balsový	balzový
hrana	balsově	balzově
hrana	banditismus	banditizmus
hrana	baptismus	baptizmus
hrana	barbarismus	barbarizmus
hrana	barokismus	barokizmus
hrana	basalt	bazalt
hrana	basaltovost	bazaltovost
hrana	basaltový	bazaltový
hrana	basaltově	bazaltově
hrana	basickost	bazickost
hrana	basicky	bazicky
hrana	basický	bazický
hrana	basidiola	bazidiola
hrana	basidiospora	bazidiospora
hrana	basidium	bazidium
hrana	basilika	bazilika
hrana	basilikální	bazilikální
hrana	basilikálně	bazilikálně
hrana	basilián	bazilián
hrana	basiliánův	baziliánův
hrana	basální	bazální
hrana	basálně	bazálně
hrana	behavioralismus	behavioralizmus
hrana	behaviorismus	behaviorizmus
hrana	bergsonismus	bergsonizmus
hrana	berlusconismus	berlusconizmus
hrana	bhaktismus	bhaktizmus
hrana	biblismus	biblizmus
hrana	bikameralismus	bikameralizmus
hrana	bilingvismus	bilingvizmus
hrana	bimetalismus	bimetalizmus
hrana	binasální	binazální
hrana	binasálně	binazálně
hrana	biocentrismus	biocentrizmus
hrana	biocenósa	biocenóza
hrana	bioexpanse	bioexpanze
hrana	biofanatismus	biofanatizmus
hrana	bioinvase	bioinvaze
hrana	biokatalysátor	biokatalyzátor
hrana	biokolonialismus	biokolonializmus
hrana	biokonserva	biokonzerva
hrana	biologismus	biologizmus
hrana	biomagnetismus	biomagnetizmus
hrana	biomechanismus	biomechanizmus
hrana	bioorganismus	bioorganizmus
hrana	bioresonance	biorezonance
hrana	bioresonanční	biorezonanční
hrana	bioterorismus	bioterorizmus
hrana	biotransistor	biotranzistor
hrana	bipartidismus	bipartidizmus
hrana	bipartismus	bipartizmus
hrana	bipolarismus	bipolarizmus
hrana	bipolitismus	bipolitizmus
hrana	bismutovost	bizmutovost
hrana	bismutový	bizmutový
hrana	bismutově	bizmutově
hrana	blairismus	blairizmus
hrana	blaseovanost	blazeovanost
hrana	blaseovaný	blazeovaný
hrana	blaseovaně	blazeovaně
hrana	blefarospasmus	blefarospazmus
hrana	blábolismus	blábolizmus
hrana	bohemismus	bohemizmus
hrana	bolševisace	bolševizace
hrana	bolševismus	bolševizmus
hrana	bolševisovací	bolševizovací
hrana	bolševisovanost	bolševizovanost
hrana	bolševisovaný	bolševizovaný
hrana	bolševisovaně	bolševizovaně
hrana	bolševisovat	bolševizovat
hrana	bolševisovatelnost	bolševizovatelnost
hrana	bolševisovatelný	bolševizovatelný
hrana	bolševisovatelně	bolševizovatelně
hrana	bolševisování	bolševizování
hrana	bolševisovávací	bolševizovávací
hrana	bolševisovávající	bolševizovávající
hrana	bolševisovávanost	bolševizovávanost
hrana	bolševisovávaný	bolševizovávaný
hrana	bolševisovávaně	bolševizovávaně
hrana	bolševisovávat	bolševizovávat
hrana	bolševisovávatelnost	bolševizovávatelnost
hrana	bolševisovávatelný	bolševizovávatelný
hrana	bolševisovávatelně	bolševizovávatelně
hrana	bolševisovávání	bolševizovávání
hrana	bolševisující	bolševizující
hrana	bonapartismus	bonapartizmus
hrana	botulismus	botulizmus
hrana	bousovskost	bouzovskost
hrana	bousovsky	bouzovsky
hrana	bousovský	bouzovský
hrana	bovarismus	bovarizmus
hrana	bradypsychismus	bradypsychizmus
hrana	brasilin	brazilin
hrana	brasilskost	brazilskost
hrana	brasilsky	brazilsky
hrana	brasilský	brazilský
hrana	bratislavocentrismus	bratislavocentrizmus
hrana	breatharianismus	breatharianizmus
hrana	brežněvismus	brežněvizmus
hrana	brnocentrismus	brnocentrizmus
hrana	bronchospasmus	bronchospazmus
hrana	brutalismus	brutalizmus
hrana	bruxismus	bruxizmus
hrana	bráhmanismus	bráhmanizmus
hrana	buranismus	buranizmus
hrana	buridanismus	buridanizmus
hrana	burison	burizon
hrana	bursa	burza
hrana	bursián	burzián
hrana	bursiánův	burziánův
hrana	bursovní	burzovní
hrana	bursovně	burzovně
hrana	buržoasie	buržoazie
