*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	soukromoprávní
chybí hrana	soukromožalobní
chybí hrana	soukroměprávní
chybí hrana	soutěžněprávní
chybí hrana	spodní
chybí hrana	spolubližní
chybí hrana	správněprávní
chybí hrana	srdečněcévní
chybí hrana	starocírkevní
chybí hrana	starorežimní
chybí hrana	starozákonní
chybí hrana	startstopní
chybí hrana	stavebněprávní
chybí hrana	stavebněsprávní
chybí hrana	stejnopohlavní
chybí hrana	stoosmdesátidenní
chybí hrana	stoprocetní
chybí hrana	stopětidenní
chybí hrana	stotřicetidenní
chybí hrana	stotřídenní
chybí hrana	stočtyřicetiměsíční
chybí hrana	stošedesátidenní
chybí hrana	stošestidenní
chybí hrana	studenovodní
chybí hrana	státněbezpečnostní
chybí hrana	státněprávní
chybí hrana	státobezpečnostní
chybí hrana	státopartajní
chybí hrana	státoprávní
chybí hrana	středněkapacitní
chybí hrana	středojižní
chybí hrana	střídmopažní
chybí hrana	svatodušní
chybí hrana	tažební
chybí hrana	technickostavební
chybí hrana	tetrapodní
chybí hrana	tisícidenní
chybí hrana	trestněprocesní
chybí hrana	trestněprávní
chybí hrana	trojměsíční
chybí hrana	trojnárodní
chybí hrana	trojparalelní
chybí hrana	trojpolní
chybí hrana	trojslovní
chybí hrana	trojstěžní
chybí hrana	trojtýdenní
chybí hrana	těžkovodní
chybí hrana	třetidenní
chybí hrana	třetitřídní
chybí hrana	třetizemní
chybí hrana	třiadvacetiměsíční
chybí hrana	třiapůldenní
chybí hrana	třicetidenní
chybí hrana	třicetidvouměsíční
chybí hrana	třicetiměsíční
chybí hrana	třicetipodlažní
chybí hrana	třicetipětidenní
chybí hrana	třicetisedmidenní
chybí hrana	třicetisedmitýdenní
chybí hrana	třicetitýdenní
chybí hrana	třicetičtyřdenní
chybí hrana	třináctiměsíční
chybí hrana	třináctitýdenní
chybí hrana	třičtvrtěroční
chybí hrana	tříapůlměsíční
chybí hrana	tříapůlroční
chybí hrana	tříapůltýdenní
chybí hrana	tříkomoditní
chybí hrana	tříkřídelní
chybí hrana	třílodní
chybí hrana	třínárodnostní
chybí hrana	třípartajní
chybí hrana	třípodlažní
chybí hrana	tříportrétní
chybí hrana	třírychlostní
chybí hrana	třístaniční
chybí hrana	třítřídní
chybí hrana	tříčtvrteční
chybí hrana	tříčtvrtletní
chybí hrana	veletržní
chybí hrana	velikonostní
chybí hrana	velitelskoštábní
chybí hrana	velkokaliberní
chybí hrana	velkokapacitní
chybí hrana	velkooperní
chybí hrana	velkoparalelní
chybí hrana	velkopáteční
chybí hrana	velkorážní
chybí hrana	vertebronní
chybí hrana	veřejněprávní
chybí hrana	veřejněsprávní
chybí hrana	vlastnickoprávní
chybí hrana	vnějšní
chybí hrana	vodoknižní
chybí hrana	vodopolicejní
chybí hrana	vodoprávní
chybí hrana	vojtěškotravní
chybí hrana	vysocerychlostní
chybí hrana	vysokobrizantní
chybí hrana	vysokohustotní
chybí hrana	vysokojakostní
chybí hrana	vysokopecní
chybí hrana	vysokopevnostní
chybí hrana	vysokopodlažní
chybí hrana	vysokorychlostní
chybí hrana	vysokoteplotní
chybí hrana	vzdušní
chybí hrana	vzrůstní
chybí hrana	váreční
chybí hrana	vícedenní
chybí hrana	vícekapacitní
chybí hrana	vícelodní
chybí hrana	vícenárodnostní
chybí hrana	vícenárodní
chybí hrana	vícepodlažní
chybí hrana	vícepracovištní
chybí hrana	vícerychlostní
chybí hrana	vícetřídní
chybí hrana	východojižní
chybí hrana	východozápadní
chybí hrana	výrobněobchodní
chybí hrana	věcněprávní
chybí hrana	vědeckovýrobní
chybí hrana	věstní
chybí hrana	všedenní
chybí hrana	všednodenní
chybí hrana	všeobecněprávní
chybí hrana	všeplenární
chybí hrana	všepolicejní
chybí hrana	všesportovní
chybí hrana	všestátní
chybí hrana	všetřídní
chybí hrana	zadovní
chybí hrana	zahraničněobchodní
chybí hrana	zavazadelní
chybí hrana	zavýuční
chybí hrana	zelenokaretní
