*slova končící na 'istický', která jsou pod 'izmus', ale ne pod 'ismus'
chybí hrana	suprasexdadaista	suprasexdadaismus
chybí hrana	symbolista	symbolismus
chybí hrana	syndikalista	syndikalismus
chybí hrana	taoista	taoismus
chybí hrana	teista	teismus
chybí hrana	ateista	ateismus
chybí hrana	polyteista	polyteismus
chybí hrana	bioterorista	bioterorismus
chybí hrana	ekoterorista	ekoterorismus
chybí hrana	terorista	terorismus
chybí hrana	antiterorista	antiterorismus
chybí hrana	thatcherista	thatcherismus
chybí hrana	tradeskancionalista	tradeskancionalismus
chybí hrana	transcendentalista	transcendentalismus
chybí hrana	ultraformalista	ultraformalismus
chybí hrana	ultraimperialista	ultraimperialismus
chybí hrana	ultrakolonialista	ultrakolonialismus
chybí hrana	ultranacionalista	ultranacionalismus
chybí hrana	unanimista	unanimismus
chybí hrana	unionista	unionismus
chybí hrana	unitarista	unitarismus
chybí hrana	urbanista	urbanismus
chybí hrana	utilitarianista	utilitarianismus
chybí hrana	utilitarista	utilitarismus
chybí hrana	utopista	utopismus
chybí hrana	utrakvista	utrakvismus
chybí hrana	velkokapitalista	velkokapitalismus
chybí hrana	verbalista	verbalismus
chybí hrana	verista	verismus
chybí hrana	viklefista	viklefismus
chybí hrana	virilista	virilismus
chybí hrana	voluntarista	voluntarismus
chybí hrana	wahhábista	wahhábismus
chybí hrana	čechoslovakista	čechoslovakismus
chybí hrana	šintoista	šintoismus
chybí hrana	šovinista	šovinismus
chybí hrana	žurnalista	žurnalismus
